date,usd_per_ngn_yahoo,ngn_per_usd_derived,notes
2014-12-01,0.006775,147.61,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2015-02-01,0.006390,156.49,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2015-04-01,0.006490,154.08,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2015-06-01,0.006803,147.00,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2015-08-01,0.006683,149.63,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2015-10-01,0.006723,148.74,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2015-12-01,0.006785,147.38,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2016-02-01,0.006684,149.61,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2016-04-01,0.006789,147.29,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2016-06-01,0.006680,149.70,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2016-08-01,0.006645,150.49,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2016-10-01,0.006711,149.01,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2016-12-01,0.006671,149.90,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2017-02-01,0.006662,150.10,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2017-04-01,0.006594,151.65,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2017-06-01,0.006483,154.25,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2017-08-01,0.006709,149.05,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2017-10-01,0.006667,149.99,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2017-12-01,0.006583,151.91,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2018-02-01,0.006618,151.11,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2018-04-01,0.006557,152.51,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2018-06-01,0.006452,154.99,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2018-08-01,0.006489,154.11,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2018-10-01,0.006386,156.60,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2018-12-01,0.006515,153.49,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2019-02-01,0.006536,153.00,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2019-04-01,0.006463,154.73,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2019-06-01,0.006275,159.36,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2019-08-01,0.006332,157.93,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2019-10-01,0.006211,161.00,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2019-12-01,0.006281,159.21,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2020-02-01,0.006192,161.50,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2020-04-01,0.006351,157.45,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2020-06-01,0.006437,155.37,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2020-08-01,0.006366,157.09,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2020-10-01,0.006337,157.81,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2020-12-01,0.006261,159.72,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
